0,1,2,3,4
4.68E+00,4.27E+00,3.90E+00,4.40E+00,2.76E+00
1.13E+00,6.52E-01,7.01E-01,5.55E-01,3.32E-01
5.64E+00,5.10E+00,4.59E+00,5.25E+00,2.85E+00
3.89E+00,3.19E+00,1.56E+00,3.12E+00,2.28E+00
8.89E+00,7.94E+00,4.70E+00,3.84E+00,2.92E+00
7.55E+00,3.69E+00,3.25E+00,1.98E+00,7.06E-01
1.56E+01,1.30E+01,6.78E+00,4.45E+00,2.00E+00
1.46E+01,9.54E+00,3.15E+00,3.52E+00,7.09E-01
7.83E+00,6.80E+00,4.62E+00,3.46E+00,2.59E+00
1.07E+01,6.55E+00,4.33E+00,3.42E+00,7.36E-01
1.54E+01,1.20E+01,6.53E+00,3.96E+00,1.45E+00
1.50E+01,1.17E+01,5.08E+00,4.75E+00,1.03E+00
6.37E+00,6.14E+00,3.73E+00,3.48E+00,2.74E+00
2.87E+00,1.20E+00,7.29E-01,5.14E-01,2.97E-01
1.07E+01,9.56E+00,4.28E+00,2.51E+00,1.78E+00
8.06E+00,3.62E+00,2.26E+00,1.41E+00,4.77E-01
8.59E+00,8.49E+00,5.30E+00,4.38E+00,3.30E+00
8.75E+00,6.27E+00,4.70E+00,4.44E+00,1.47E+00
1.60E+01,1.50E+01,7.68E+00,5.19E+00,2.32E+00
1.60E+01,1.08E+01,5.36E+00,4.67E+00,9.24E-01
7.17E+00,4.71E+00,3.32E+00,3.10E+00,2.47E+00
1.45E+01,9.54E+00,5.39E+00,4.53E+00,2.17E+00
1.30E+01,7.92E+00,4.67E+00,3.58E+00,2.16E+00
1.30E+01,8.01E+00,4.20E+00,3.74E+00,1.42E+00
3.48E+00,6.85E+00,3.00E+00,1.93E+00,2.08E+00
7.42E+00,1.35E+01,4.76E+00,1.82E+00,2.06E+00
4.53E+00,1.28E+01,3.96E+00,1.43E+00,2.65E+00
5.31E+00,1.26E+01,4.07E+00,1.59E+00,2.42E+00
